Term,Class,Title,Description,Status,Days,Time,Seats
Fall 2024,CPSC 292,Introduction to Exploratory Data Analysis,"Students will learn the fundamentals of data processing and exploratory data analysis using a statistical computing language such as R. Emphasis will be placed on data cleaning, data visualization, and simple statistical analyses. (Offered every year.) 3 credits.",Wait List,Monday Wednesday Friday,11:00AM to 11:50AM,Waitlist Available Places 98 of 100
Fall 2024,CPSC 292,Introduction to Exploratory Data Analysis,"Students will learn the fundamentals of data processing and exploratory data analysis using a statistical computing language such as R. Emphasis will be placed on data cleaning, data visualization, and simple statistical analyses. (Offered every year.) 3 credits.",Wait List,Monday Wednesday Friday,12:00PM to 12:50PM,Waitlist Available Places 100 of 100
Fall 2024,CPSC 293,Mathematical Foundations of Machine Learning,"Prerequisites, CPSC 230, MATH 203 and MATH 110 or MATH 115. A concise overview of the mathematical foundations of machine learning, including key intermediate concepts from calculus, linear algebra, probability, statistics, and optimization. Letter grade with Pass/No Pass option. (Offered every year.) 3 credits.",Open,Tuesday Thursday,2:30PM to 3:45PM,Open Seats 1 of 27
Fall 2024,CPSC 298,Computer Science Colloquium - Introduction to *nix,"Students will be exposed to topics in computer science through directed reading, guest speakers, and practicums. P/NP. May be repeated for credit. (Offered every year.) 1 credit.",Open,Monday,9:00AM to 9:50AM,Open Seats 3 of 25
Fall 2024,CPSC 298,Computer Science Colloquium - Introduction to *nix,"Students will be exposed to topics in computer science through directed reading, guest speakers, and practicums. P/NP. May be repeated for credit. (Offered every year.) 1 credit.",Open,Wednesday,9:00AM to 9:50AM,Open Seats 15 of 25
Fall 2024,CPSC 298,Computer Science Colloquium - Introduction to *nix,"Students will be exposed to topics in computer science through directed reading, guest speakers, and practicums. P/NP. May be repeated for credit. (Offered every year.) 1 credit.",Open,Friday,9:00AM to 9:50AM,Open Seats 3 of 25
Fall 2024,CPSC 298,Computer Science Colloquium - Introduction to *nix,"Students will be exposed to topics in computer science through directed reading, guest speakers, and practicums. P/NP. May be repeated for credit. (Offered every year.) 1 credit.",Open,Wednesday,10:00AM to 10:50AM,Open Seats 8 of 25
Fall 2024,CPSC 298,Computer Science Colloquium - Introduction to *nix,"Students will be exposed to topics in computer science through directed reading, guest speakers, and practicums. P/NP. May be repeated for credit. (Offered every year.) 1 credit.",Open,Friday,10:00AM to 10:50AM,Open Seats 4 of 25
Fall 2024,CPSC 298,Computer Science Colloquium - Systems Thinking & Design,"Students will be exposed to topics in computer science through directed reading, guest speakers, and practicums. P/NP. May be repeated for credit. (Offered every year.) 1 credit.",Open,Tuesday,5:30PM to 6:20PM,Open Seats 2 of 30
Fall 2024,CPSC 298,Computer Science Colloquium - Building Your Personal Brand,"Students will be exposed to topics in computer science through directed reading, guest speakers, and practicums. P/NP. May be repeated for credit. (Offered every year.) 1 credit.",Open,Monday,7:00PM to 7:50PM,Open Seats 1 of 21
Fall 2024,CPSC 298,Computer Science Colloquium - Career Design,"Students will be exposed to topics in computer science through directed reading, guest speakers, and practicums. P/NP. May be repeated for credit. (Offered every year.) 1 credit.",Open,Tuesday,5:30PM to 6:20PM,Open Seats 1 of 21
Fall 2024,CPSC 298,Computer Science Colloquium - Introduction to *nix,"Students will be exposed to topics in computer science through directed reading, guest speakers, and practicums. P/NP. May be repeated for credit. (Offered every year.) 1 credit.",Wait List,Monday,10:00AM to 10:50AM,Waitlist Available Places 100 of 100
Fall 2024,CPSC 298,Computer Science Colloquium - Digital Integrated Circuits,"Students will be exposed to topics in computer science through directed reading, guest speakers, and practicums. P/NP. May be repeated for credit. (Offered every year.) 1 credit.",Wait List,Monday,12:00PM to 12:50PM,Waitlist Available Places 99 of 100
Fall 2024,CPSC 298,Computer Science Colloquium - Digital Integrated Circuits,"Students will be exposed to topics in computer science through directed reading, guest speakers, and practicums. P/NP. May be repeated for credit. (Offered every year.) 1 credit.",Wait List,Monday,11:00AM to 11:50AM,Waitlist Available Places 100 of 100
Fall 2024,CPSC 298,Computer Science Colloquium - Machining Processes,"Students will be exposed to topics in computer science through directed reading, guest speakers, and practicums. P/NP. May be repeated for credit. (Offered every year.) 1 credit.",Wait List,Friday,9:00AM to 9:50AM,Waitlist Available Places 98 of 100
Fall 2024,CPSC 298,Computer Science Colloquium - 3D Printed Materials,"Students will be exposed to topics in computer science through directed reading, guest speakers, and practicums. P/NP. May be repeated for credit. (Offered every year.) 1 credit.",Wait List,Friday,10:00AM to 10:50AM,Waitlist Available Places 98 of 100
Fall 2024,CPSC 298,Computer Science Colloquium - C++ Programming,"Students will be exposed to topics in computer science through directed reading, guest speakers, and practicums. P/NP. May be repeated for credit. (Offered every year.) 1 credit.",Wait List,Tuesday,7:00PM to 7:50PM,Waitlist Available Places 98 of 100
Fall 2024,CPSC 298,Computer Science Colloquium - C++ Programming,"Students will be exposed to topics in computer science through directed reading, guest speakers, and practicums. P/NP. May be repeated for credit. (Offered every year.) 1 credit.",Wait List,Thursday,7:00PM to 7:50PM,Waitlist Available Places 100 of 100
Fall 2024,CPSC 298,Computer Science Colloquium - Generative AI in practice,"Students will be exposed to topics in computer science through directed reading, guest speakers, and practicums. P/NP. May be repeated for credit. (Offered every year.) 1 credit.",Wait List,Monday,12:00PM to 12:50PM,Waitlist Available Places 98 of 100
Fall 2024,CPSC 298,Computer Science Colloquium - SOENG-Lg Language Models,"Students will be exposed to topics in computer science through directed reading, guest speakers, and practicums. P/NP. May be repeated for credit. (Offered every year.) 1 credit.",Wait List,Wednesday,12:00PM to 12:50PM,Waitlist Available Places 98 of 100
Fall 2024,CPSC 298,Computer Science Colloquium - Data Visualization for Bus,"Students will be exposed to topics in computer science through directed reading, guest speakers, and practicums. P/NP. May be repeated for credit. (Offered every year.) 1 credit.",Wait List,Monday,5:30PM to 6:20PM,Waitlist Available Places 100 of 100
Fall 2024,CPSC 308,Enterprise Data Management,"Prerequisite, CPSC 230, or 236. CPSC 308 is an introductory course on data management, with emphasis on database systems for organizations. Students will learn the fundamentals of data storage and retrieval, gaining hands-on experience with the Structured Query Language (SQL) and a contemporary relational database management system. Students will also be exposed to advances in NoSQL technologies, which provide alternative storage mechanisms for noisy and unstructured data. Students majoring in Computer Science, Software Engineering, or Computer Information Systems may not use CPSC 308 to fulfill major requirements. (Offered spring semester.) 3 credits.",Open,Monday Wednesday,7:00PM to 8:15PM,Open Seats 4 of 27
Fall 2024,CPSC 308,Enterprise Data Management,"Prerequisite, CPSC 230, or 236. CPSC 308 is an introductory course on data management, with emphasis on database systems for organizations. Students will learn the fundamentals of data storage and retrieval, gaining hands-on experience with the Structured Query Language (SQL) and a contemporary relational database management system. Students will also be exposed to advances in NoSQL technologies, which provide alternative storage mechanisms for noisy and unstructured data. Students majoring in Computer Science, Software Engineering, or Computer Information Systems may not use CPSC 308 to fulfill major requirements. (Offered spring semester.) 3 credits.",Wait List,Monday Wednesday,5:30PM to 6:45PM,Waitlist Available Places 97 of 100
Fall 2024,CPSC 349,Human Factors,"Prerequisite, CPSC 230 or GAME 230. Students study the foundations of human factors, with emphasis on user interface design and user experience. Topics include engineering psychology, design constraints, memory models, visual and auditory processing, and human-centered design. Letter grade with Pass/No Pass option. (Offered every year.) 3 credits",Open,Tuesday Thursday,8:30AM to 9:45AM,Open Seats 6 of 30
Fall 2024,CPSC 349,Human Factors,"Prerequisite, CPSC 230 or GAME 230. Students study the foundations of human factors, with emphasis on user interface design and user experience. Topics include engineering psychology, design constraints, memory models, visual and auditory processing, and human-centered design. Letter grade with Pass/No Pass option. (Offered every year.) 3 credits",Wait List,Monday Wednesday Friday,11:00AM to 11:50AM,Waitlist Available Places 100 of 100
Fall 2024,CPSC 349,Human Factors,"Prerequisite, CPSC 230 or GAME 230. Students study the foundations of human factors, with emphasis on user interface design and user experience. Topics include engineering psychology, design constraints, memory models, visual and auditory processing, and human-centered design. Letter grade with Pass/No Pass option. (Offered every year.) 3 credits",Wait List,Tuesday Thursday,10:00AM to 11:15AM,Waitlist Available Places 99 of 100
Fall 2024,CPSC 350,Data Structures and Algorithms,"Prerequisite, CPSC 231 or CENG 231. Students study core data structures and algorithms, such as arrays, stacks, lists, queues, trees, hash tables, graphs; search and sort. Students engage on projects that involve individually chosen advanced data structures and algorithms. The focus is on applications of data structures and algorithms, utilization of existing practical data sets, and performance trade-offs. (Offered every semester.) 3 credits.",Wait List,Tuesday Thursday,4:00PM to 5:15PM,Waitlist Available Places 100 of 100
Fall 2024,CPSC 350,Data Structures and Algorithms,"Prerequisite, CPSC 231 or CENG 231. Students study core data structures and algorithms, such as arrays, stacks, lists, queues, trees, hash tables, graphs; search and sort. Students engage on projects that involve individually chosen advanced data structures and algorithms. The focus is on applications of data structures and algorithms, utilization of existing practical data sets, and performance trade-offs. (Offered every semester.) 3 credits.",Wait List,Tuesday Thursday,5:30PM to 6:45PM,Waitlist Available Places 97 of 100
Fall 2024,CPSC 350,Data Structures and Algorithms,"Prerequisite, CPSC 231 or CENG 231. Students study core data structures and algorithms, such as arrays, stacks, lists, queues, trees, hash tables, graphs; search and sort. Students engage on projects that involve individually chosen advanced data structures and algorithms. The focus is on applications of data structures and algorithms, utilization of existing practical data sets, and performance trade-offs. (Offered every semester.) 3 credits.",Wait List,Tuesday Thursday,5:30PM to 6:45PM,Waitlist Available Places 98 of 100
Fall 2024,CPSC 353,Data Communications and Computer Networks,"Prerequisite, CENG 231 or CPSC 231 or CPSC 236. Students explore the principles and techniques of data communications and give special emphasis to networks and distributed systems. The I.S.O. Reference Model for open systems interconnection will be investigated and the function and operation of each protocol layer analyzed in detail. Letter grade with Pass/No Pass option. (Offered every semester.) 3 credits",Open,Monday Wednesday,7:00PM to 8:15PM,Open Seats 1 of 28
Fall 2024,CPSC 353,Data Communications and Computer Networks,"Prerequisite, CENG 231 or CPSC 231 or CPSC 236. Students explore the principles and techniques of data communications and give special emphasis to networks and distributed systems. The I.S.O. Reference Model for open systems interconnection will be investigated and the function and operation of each protocol layer analyzed in detail. Letter grade with Pass/No Pass option. (Offered every semester.) 3 credits",Open,Monday Wednesday,5:30PM to 6:45PM,Open Seats 1 of 28
Fall 2024,CPSC 353,Data Communications and Computer Networks,"Prerequisite, CENG 231 or CPSC 231 or CPSC 236. Students explore the principles and techniques of data communications and give special emphasis to networks and distributed systems. The I.S.O. Reference Model for open systems interconnection will be investigated and the function and operation of each protocol layer analyzed in detail. Letter grade with Pass/No Pass option. (Offered every semester.) 3 credits",Wait List,Monday Wednesday Friday,11:00AM to 11:50AM,Waitlist Available Places 99 of 100
Fall 2024,CPSC 354,Programming Languages,"Prerequisites, MATH 250, CPSC 350. Students develop an understanding of the organization and design of programming languages through writing interpreters for three different toy languages illustrating a range of programming concepts from pure functional languages to imperative languages with memory management. Moreover, the course will open windows into topics of programming languages research such as parsing, operational and denotational semantics, term rewriting, Hoare logic, verification, and theorem proving. Letter grade with Pass/No Pass option. (Offered fall semester.) 3 credits",Open,Tuesday Thursday,8:30AM to 9:45AM,Open Seats 4 of 27
Fall 2024,CPSC 354,Programming Languages,"Prerequisites, MATH 250, CPSC 350. Students develop an understanding of the organization and design of programming languages through writing interpreters for three different toy languages illustrating a range of programming concepts from pure functional languages to imperative languages with memory management. Moreover, the course will open windows into topics of programming languages research such as parsing, operational and denotational semantics, term rewriting, Hoare logic, verification, and theorem proving. Letter grade with Pass/No Pass option. (Offered fall semester.) 3 credits",Wait List,Tuesday Thursday,11:30AM to 12:45PM,Waitlist Available Places 100 of 100
Fall 2024,CPSC 354,Programming Languages,"Prerequisites, MATH 250, CPSC 350. Students develop an understanding of the organization and design of programming languages through writing interpreters for three different toy languages illustrating a range of programming concepts from pure functional languages to imperative languages with memory management. Moreover, the course will open windows into topics of programming languages research such as parsing, operational and denotational semantics, term rewriting, Hoare logic, verification, and theorem proving. Letter grade with Pass/No Pass option. (Offered fall semester.) 3 credits",Wait List,Tuesday Thursday,1:00PM to 2:15PM,Waitlist Available Places 98 of 100
Fall 2024,CPSC 354,Programming Languages,"Prerequisites, MATH 250, CPSC 350. Students develop an understanding of the organization and design of programming languages through writing interpreters for three different toy languages illustrating a range of programming concepts from pure functional languages to imperative languages with memory management. Moreover, the course will open windows into topics of programming languages research such as parsing, operational and denotational semantics, term rewriting, Hoare logic, verification, and theorem proving. Letter grade with Pass/No Pass option. (Offered fall semester.) 3 credits",Wait List,Tuesday Thursday,11:30AM to 12:45PM,Waitlist Available Places 100 of 100
Fall 2024,CPSC 355,Human Computer Interaction,"Prerequisites, CENG 231 or CPSC 231 or CPSC 236 and CPSC 349. Students study the foundations of human-interaction, with emphasis on user-centered design methodologies. Topics such as usability, human factors, user studies, and multi-model interfaces will be explored, and the theory put into practice through programming projects that develop graphical user interfaces and applications for the Android or iPhone/iPad. Letter grade with Pass/No Pass option. (Offered every year.) 3 credits",Open,Tuesday Thursday,8:30AM to 9:45AM,Open Seats 9 of 25
Fall 2024,CPSC 357,iOS Application Development,"Prerequisite, CPSC 231. An introduction to app development using the iOS operating system and Swift. Students will learn the fundamentals of mobile embedded programming and apply their skills to implement non-trivial projects on target hardware such as ipads, iphones, and watches. (Offered every year.) 3 credits.",Wait List,Tuesday Thursday,10:00AM to 11:15AM,Waitlist Available Places 98 of 100
Fall 2024,CPSC 358,Assistive Technology,"Recommended preparation, CPSC 230. An introduction to assistive technologies (AT). In particular, students will study social, cultural, and economic factors of disability as they pertain to AT. This will be accomplished by studying existing practices and challenges, designing new user experiences, and integrating new technologies into the AT space. (Offered fall semester.) 3 credits.",Wait List,Monday Wednesday,2:30PM to 3:45PM,Waitlist Available Places 98 of 100
Fall 2024,CPSC 370,Topics in Computer Science - Nanoscience & Nanoengineering,(Offered as needed.),Open,Monday Wednesday,2:30PM to 3:45PM,Open Seats 9 of 25
Fall 2024,CPSC 380,Operating Systems,"Prerequisite, CPSC 350. The course emphasizes the major principles of operating system design and the interrelationship between the operating system and the hardware. (Offered every year.) 3 credits.",Open,Monday Wednesday,5:30PM to 6:45PM,Open Seats 5 of 28
Fall 2024,CPSC 380,Operating Systems,"Prerequisite, CPSC 350. The course emphasizes the major principles of operating system design and the interrelationship between the operating system and the hardware. (Offered every year.) 3 credits.",Wait List,Monday Wednesday,4:00PM to 5:15PM,Waitlist Available Places 98 of 100
Fall 2024,CPSC 390,Artificial Intelligence,"Prerequisite, CPSC 350. Students study the tools, techniques, and applications of artificial intelligence. Students will be introduced to the programming techniques utilized in artificial intelligence applications. (Offered as needed.) 3 credits.",Wait List,Tuesday Thursday,10:00AM to 11:15AM,Waitlist Available Places 97 of 100
Fall 2024,CPSC 392,Introduction to Data Science,"Prerequisites, CPSC 230, and MATH 203 or MATH 303 or MGSC 209. This course provides a survey of algorithms, tools, and techniques for computing with Big Data. Students will be exposed to fundamental concepts in data mining, machine learning, and information retrieval systems, with special emphasis on statistical techniques for data visualization and analysis. Recent advances in high performance computing, such as map-reduce, will be presented in the context of Big Data. Students will apply data mining algorithms to data sets from biology, chemistry, social media, and industry. Letter grade with Pass/No Pass option. (Offered every semester.) 3 credits",Open,Monday Wednesday,1:00PM to 2:15PM,Open Seats 5 of 25
Fall 2024,CPSC 392,Introduction to Data Science,"Prerequisites, CPSC 230, and MATH 203 or MATH 303 or MGSC 209. This course provides a survey of algorithms, tools, and techniques for computing with Big Data. Students will be exposed to fundamental concepts in data mining, machine learning, and information retrieval systems, with special emphasis on statistical techniques for data visualization and analysis. Recent advances in high performance computing, such as map-reduce, will be presented in the context of Big Data. Students will apply data mining algorithms to data sets from biology, chemistry, social media, and industry. Letter grade with Pass/No Pass option. (Offered every semester.) 3 credits",Open,Monday Wednesday,2:30PM to 3:45PM,Open Seats 1 of 28
Fall 2024,CPSC 392,Introduction to Data Science,"Prerequisites, CPSC 230, and MATH 203 or MATH 303 or MGSC 209. This course provides a survey of algorithms, tools, and techniques for computing with Big Data. Students will be exposed to fundamental concepts in data mining, machine learning, and information retrieval systems, with special emphasis on statistical techniques for data visualization and analysis. Recent advances in high performance computing, such as map-reduce, will be presented in the context of Big Data. Students will apply data mining algorithms to data sets from biology, chemistry, social media, and industry. Letter grade with Pass/No Pass option. (Offered every semester.) 3 credits",Wait List,Tuesday Thursday,1:00PM to 2:15PM,Waitlist Available Places 100 of 100
Fall 2024,CPSC 392,Introduction to Data Science,"Prerequisites, CPSC 230, and MATH 203 or MATH 303 or MGSC 209. This course provides a survey of algorithms, tools, and techniques for computing with Big Data. Students will be exposed to fundamental concepts in data mining, machine learning, and information retrieval systems, with special emphasis on statistical techniques for data visualization and analysis. Recent advances in high performance computing, such as map-reduce, will be presented in the context of Big Data. Students will apply data mining algorithms to data sets from biology, chemistry, social media, and industry. Letter grade with Pass/No Pass option. (Offered every semester.) 3 credits",Wait List,Tuesday Thursday,2:30PM to 3:45PM,Waitlist Available Places 99 of 100
Fall 2024,CPSC 393,Machine Learning,"Prerequisite, CPSC 392. This course provides a survey of algorithmic techniques for machine learning, including statistical techniques for pattern recognition. Topics include neural networks, deep learning, support vector machines, and kernel methods. (Offered as needed.) 3 credits.",Open,Monday Wednesday,7:00PM to 8:15PM,Open Seats 11 of 25
Fall 2024,CPSC 393,Machine Learning,"Prerequisite, CPSC 392. This course provides a survey of algorithmic techniques for machine learning, including statistical techniques for pattern recognition. Topics include neural networks, deep learning, support vector machines, and kernel methods. (Offered as needed.) 3 credits.",Wait List,Monday Wednesday,4:00PM to 5:15PM,Waitlist Available Places 97 of 100
Fall 2024,CPSC 408,Database Management,"Prerequisite, CPSC 350. Students learn data management concepts and the representation and structure of data in the context of applications and system software. The emphasis is on design of databases and developing applications in a client-server environment using SQL as the query language. (Offered every semester.) 3 credits.",Open,Tuesday Thursday,8:30PM to 9:45PM,Open Seats 12 of 27
Fall 2024,CPSC 408,Database Management,"Prerequisite, CPSC 350. Students learn data management concepts and the representation and structure of data in the context of applications and system software. The emphasis is on design of databases and developing applications in a client-server environment using SQL as the query language. (Offered every semester.) 3 credits.",Wait List,Tuesday Thursday,7:00PM to 8:15PM,Waitlist Available Places 100 of 100
Fall 2024,CPSC 408,Database Management,"Prerequisite, CPSC 350. Students learn data management concepts and the representation and structure of data in the context of applications and system software. The emphasis is on design of databases and developing applications in a client-server environment using SQL as the query language. (Offered every semester.) 3 credits.",Wait List,Monday Wednesday,4:00PM to 5:15PM,Waitlist Available Places 100 of 100
Fall 2024,CPSC 408,Database Management,"Prerequisite, CPSC 350. Students learn data management concepts and the representation and structure of data in the context of applications and system software. The emphasis is on design of databases and developing applications in a client-server environment using SQL as the query language. (Offered every semester.) 3 credits.",Wait List,Monday Wednesday,5:30PM to 6:45PM,Waitlist Available Places 99 of 100
Fall 2024,CPSC 513,Database System Implementation,"Students learn advanced data management concepts and various types of data processing and storage systems (i.e., relational databases, NOSQL, cloud and cluster computing).  Students will discuss several topics: database system architecture, data storage, query optimization, transaction management, data resilience through fault recovery systems, and parallel processing. Letter grade. (Offered as needed.) 3 credits",Open / Enrolled,Monday Wednesday,8:30PM to 9:45PM,Open Seats 1 of 31
Fall 2024,CPSC 540,Statistical Machine Learning I,"This course covers a range of topics in Statistical Machine Learning including the Mathematical foundations of machine learning, data preprocessing (including scaling, dimensionality reduction, and imputation), Bayesian and Frequentist inference (including particular-use models which may include Generalized Linear Models, Generalized Additive Models, Mixed Effect Models, Survival Analysis, and Item Response Theory), longitudinal data models (including repeated measures and time series), and ethical considerations that arise through the application of these topics. This course assumes students have completed undergraduate-level coursework in probability, statistics, linear algebra, and computer programming. Letter grade. (Offered as needed.) 3 credits",Open / Enrolled,Monday Wednesday,5:30PM to 6:45PM,Open Seats 1 of 32
Fall 2024,CENG 231,Systems Programming,"Prerequisite, CPSC 230. Corequisite, CENG 231L. This course introduces students to concepts and techniques in systems programming with the programming languages C and C++ in a *nix environment. Students will gain insight into hardware-software interfaces through hands-on projects involving system calls, concurrency, network programming, memory mapping, and low-level mechanisms for inter-process communication. A laboratory component will allow students to implement conceptual ideas in code for enterprise, real-time, and embedded hardware targets. Letter grade with Pass/No Pass option. (Offered spring semester.) 3 credits",Closed,Tuesday Thursday,8:30AM to 9:45AM,Closed
Fall 2024,CENG 298,Computer Engineering Colloquium - Intro to *Nix,"Students will be exposed to topics in computer engineering through directed reading, guest speakers, and practicums. P/NP. May be repeated for credit. (Offered every year.) 1 credit.",Open,Monday,9:00AM to 9:50AM,Open Seats 3 of 25
Fall 2024,CENG 298,Computer Engineering Colloquium - Intro to *Nix,"Students will be exposed to topics in computer engineering through directed reading, guest speakers, and practicums. P/NP. May be repeated for credit. (Offered every year.) 1 credit.",Open,Wednesday,9:00AM to 9:50AM,Open Seats 15 of 25
Fall 2024,CENG 298,Computer Engineering Colloquium - Intro to *Nix,"Students will be exposed to topics in computer engineering through directed reading, guest speakers, and practicums. P/NP. May be repeated for credit. (Offered every year.) 1 credit.",Open,Friday,9:00AM to 9:50AM,Open Seats 3 of 25
Fall 2024,CENG 298,Computer Engineering Colloquium - Intro to *Nix,"Students will be exposed to topics in computer engineering through directed reading, guest speakers, and practicums. P/NP. May be repeated for credit. (Offered every year.) 1 credit.",Open,Wednesday,10:00AM to 10:50AM,Open Seats 8 of 25
Fall 2024,CENG 298,Computer Engineering Colloquium - Intro to *Nix,"Students will be exposed to topics in computer engineering through directed reading, guest speakers, and practicums. P/NP. May be repeated for credit. (Offered every year.) 1 credit.",Open,Friday,10:00AM to 10:50AM,Open Seats 4 of 25
Fall 2024,CENG 298,Computer Engineering Colloquium - Intro to *Nix,"Students will be exposed to topics in computer engineering through directed reading, guest speakers, and practicums. P/NP. May be repeated for credit. (Offered every year.) 1 credit.",Wait List,Monday,10:00AM to 10:50AM,Waitlist Available Places 100 of 100
Fall 2024,CENG 298,Computer Engineering Colloquium - Systems Thinking & Design,"Students will be exposed to topics in computer engineering through directed reading, guest speakers, and practicums. P/NP. May be repeated for credit. (Offered every year.) 1 credit.",Wait List,Tuesday,5:30PM to 6:20PM,Waitlist Available Places 100 of 100
Fall 2024,CENG 298,Computer Engineering Colloquium - Digital Integrated Circuits,"Students will be exposed to topics in computer engineering through directed reading, guest speakers, and practicums. P/NP. May be repeated for credit. (Offered every year.) 1 credit.",Wait List,Monday,12:00PM to 12:50PM,Waitlist Available Places 99 of 100
Fall 2024,CENG 298,Computer Engineering Colloquium - Digital Integrated Circuits,"Students will be exposed to topics in computer engineering through directed reading, guest speakers, and practicums. P/NP. May be repeated for credit. (Offered every year.) 1 credit.",Wait List,Monday,11:00AM to 11:50AM,Waitlist Available Places 100 of 100
Fall 2024,CENG 298,Computer Engineering Colloquium - Machining Processes,"Students will be exposed to topics in computer engineering through directed reading, guest speakers, and practicums. P/NP. May be repeated for credit. (Offered every year.) 1 credit.",Wait List,Friday,9:00AM to 9:50AM,Waitlist Available Places 98 of 100
